Method,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,NumberOfVectorsToCreate,MultiThreaded,Mean,Error,StdDev,Median,Ratio,RatioSD,Allocated,Alloc Ratio
CosineSimilarityVectors768Dimensions,False,Default,Default,Default,Default,Default,Default,111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 6.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Throughput,16,1,1000,False,0.5507 ms,0.0019 ms,0.0017 ms,0.5508 ms,baseline,,2.99 MB,
CosineSimilarityVectors768Dimensions,False,Default,Default,Default,Default,Default,Default,111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Throughput,16,1,1000,False,0.4667 ms,0.0020 ms,0.0050 ms,0.4663 ms,-15%,0.8%,2.99 MB,-0%
DotProductVectors768Dimensions,False,Default,Default,Default,Default,Default,Default,111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 6.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Throughput,16,1,1000,False,0.3582 ms,0.0021 ms,0.0016 ms,0.3582 ms,baseline,,2.99 MB,
DotProductVectors768Dimensions,False,Default,Default,Default,Default,Default,Default,111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Throughput,16,1,1000,False,0.2879 ms,0.0019 ms,0.0041 ms,0.2873 ms,-20%,1.0%,2.99 MB,+0%
CosineSimilarityVectors1536Dimensions,False,Default,Default,Default,Default,Default,Default,111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 6.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Throughput,16,1,1000,False,1.3702 ms,0.0068 ms,0.0063 ms,1.3680 ms,baseline,,5.92 MB,
CosineSimilarityVectors1536Dimensions,False,Default,Default,Default,Default,Default,Default,111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Throughput,16,1,1000,False,1.3635 ms,0.0064 ms,0.0060 ms,1.3660 ms,-0%,0.7%,5.92 MB,+0%
DotProductVectors1536Dimensions,False,Default,Default,Default,Default,Default,Default,111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 6.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Throughput,16,1,1000,False,1.0759 ms,0.0054 ms,0.0048 ms,1.0760 ms,baseline,,5.92 MB,
DotProductVectors1536Dimensions,False,Default,Default,Default,Default,Default,Default,111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Throughput,16,1,1000,False,1.0496 ms,0.0038 ms,0.0033 ms,1.0497 ms,-2%,0.6%,5.92 MB,-0%
CosineSimilarityVectors768Dimensions,False,Default,Default,Default,Default,Default,Default,111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Throughput,16,1,1000,True,2.4520 ms,0.0486 ms,0.1107 ms,2.4410 ms,+20%,8.1%,3.03 MB,+0%
CosineSimilarityVectors768Dimensions,False,Default,Default,Default,Default,Default,Default,111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 6.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Throughput,16,1,1000,True,2.0383 ms,0.0464 ms,0.1369 ms,2.0515 ms,baseline,,3.03 MB,
DotProductVectors768Dimensions,False,Default,Default,Default,Default,Default,Default,111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Throughput,16,1,1000,True,2.4291 ms,0.0478 ms,0.0933 ms,2.4121 ms,+22%,6.5%,3.03 MB,+0%
DotProductVectors768Dimensions,False,Default,Default,Default,Default,Default,Default,111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 6.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Throughput,16,1,1000,True,2.0079 ms,0.0399 ms,0.1037 ms,2.0170 ms,baseline,,3.03 MB,
CosineSimilarityVectors1536Dimensions,False,Default,Default,Default,Default,Default,Default,111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Throughput,16,1,1000,True,5.5936 ms,0.1104 ms,0.2399 ms,5.6296 ms,+30%,7.1%,5.97 MB,+0%
CosineSimilarityVectors1536Dimensions,False,Default,Default,Default,Default,Default,Default,111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 6.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Throughput,16,1,1000,True,4.2946 ms,0.0866 ms,0.2553 ms,4.2653 ms,baseline,,5.96 MB,
DotProductVectors1536Dimensions,False,Default,Default,Default,Default,Default,Default,111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Throughput,16,1,1000,True,5.5974 ms,0.1109 ms,0.2240 ms,5.5465 ms,+39%,6.9%,5.97 MB,+0%
